The Kid,8.3,68,1921
Sherlock Jr.,8.2,45,1924
The Gold Rush,8.1,95,1925
The General,8.1,67,1926
Metropolis,8.3,153,1927
The Passion of Joan of Arc,8.2,114,1928
City Lights,8.5,87,1931
M,8.3,99,1931
It Happened One Night,8.1,105,1934
Modern Times,8.5,87,1936
Mr. Smith Goes to Washington,8.1,129,1939
Gone with the Wind,8.2,238,1939
The Wizard of Oz,8.1,102,1939
The Grapes of Wrath,8.1,129,1940
The Great Dictator,8.4,125,1940
Rebecca,8.1,130,1940
Citizen Kane,8.3,119,1941
Casablanca,8.5,102,1942
To Be or Not to Be,8.2,99,1942
Double Indemnity,8.3,107,1944
It's a Wonderful Life,8.6,130,1946
The Best Years of Our Lives,8.1,170,1946
Bicycle Thieves,8.3,89,1948
The Treasure of the Sierra Madre,8.2,126,1948
The Third Man,8.1,93,1949
All About Eve,8.2,138,1950
Sunset Blvd.,8.4,110,1950
Rashomon,8.2,88,1950
Singin' in the Rain,8.3,103,1952
Ikiru,8.3,143,1952
The Wages of Fear,8.2,131,1953
Tokyo Story,8.2,136,1953
Dial M for Murder,8.2,105,1954
Rear Window,8.5,112,1954
Seven Samurai,8.6,207,1954
On the Waterfront,8.1,108,1954
Pather Panchali,8.3,125,1955
Wild Strawberries,8.1,91,1957
The Bridge on the River Kwai,8.2,161,1957
Witness for the Prosecution,8.4,116,1957
Paths of Glory,8.4,88,1957
12 Angry Men,9.0,96,1957
The Seventh Seal,8.1,96,1957
Vertigo,8.3,128,1958
Ben-Hur,8.1,212,1959
Some Like It Hot,8.2,121,1959
North by Northwest,8.3,136,1959
The 400 Blows,8.1,99,1959
Psycho,8.5,109,1960
The Apartment,8.3,125,1960
Judgment at Nuremberg,8.3,179,1961
Yojimbo,8.2,110,1961
Lawrence of Arabia,8.3,218,1962
Harakiri,8.6,133,1962
To Kill a Mockingbird,8.3,129,1962
High and Low,8.4,143,1963
The Great Escape,8.2,172,1963
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,1964
For a Few Dollars More,8.2,132,1965
The Sound of Music,8.1,172,1965
The Battle of Algiers,8.1,121,1966
The Good the Bad and the Ugly,8.8,178,1966
Persona,8.1,83,1966
Cool Hand Luke,8.1,127,1967
Once Upon a Time in the West,8.5,165,1968
2001: A Space Odyssey,8.3,149,1968
A Clockwork Orange,8.3,136,1971
The Godfather,9.2,175,1972
The Sting,8.3,129,1973
The Exorcist,8.1,122,1973
The Godfather Part II,9.0,202,1974
Chinatown,8.2,130,1974
Jaws,8.1,124,1975
Barry Lyndon,8.1,185,1975
Monty Python and the Holy Grail,8.2,91,1975
One Flew Over the Cuckoo's Nest,8.7,133,1975
Dersu Uzala,8.2,142,1975
Rocky,8.1,120,1976
Taxi Driver,8.2,114,1976
Network,8.1,121,1976
