Sherlock Jr.,8.2,45,1924
The General,8.1,67,1926
The Kid,8.3,68,1921
Before Sunset,8.1,80,2004
Toy Story,8.3,81,1995
Persona,8.1,83,1966
The Iron Giant,8.1,86,1999
My Neighbor Totoro,8.1,86,1988
City Lights,8.5,87,1931
Modern Times,8.5,87,1936
Rashomon,8.2,88,1950
Paths of Glory,8.4,88,1957
The Lion King,8.5,88,1994
Stand by Me,8.1,89,1986
Children of Heaven,8.2,89,1997
Bicycle Thieves,8.3,89,1948
Grave of the Fireflies,8.5,89,1988
Aladdin,8.0,90,1992
Wild Strawberries,8.1,91,1957
Monty Python and the Holy Grail,8.2,91,1975
Monsters Inc.,8.1,92,2001
Mary and Max,8.1,92,2009
Hachi: A Dog's Tale,8.1,93,2009
The Third Man,8.1,93,1949
Trainspotting,8.1,93,1996
Life of Brian,8.0,94,1979
The Gold Rush,8.1,95,1925
Inside Out,8.2,95,2015
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,1964
The Seventh Seal,8.1,96,1957
Klaus,8.2,96,2019
Up,8.3,96,2009
12 Angry Men,9.0,96,1957
The Father,8.2,97,2020
La haine,8.1,98,1995
How to Train Your Dragon,8.1,98,2010
Fargo,8.1,98,1996
WALL·E,8.4,98,2008
The 400 Blows,8.1,99,1959
To Be or Not to Be,8.2,99,1942
The Grand Budapest Hotel,8.1,99,2014
M,8.3,99,1931
Reservoir Dogs,8.3,99,1992
Finding Nemo,8.2,100,2003
Groundhog Day,8.1,101,1993
Before Sunrise,8.1,101,1995
The Wizard of Oz,8.1,102,1939
Snatch,8.2,102,2000
Requiem for a Dream,8.3,102,2000
Casablanca,8.5,102,1942
The Truman Show,8.2,103,1998
Toy Story 3,8.3,103,2010
Singin' in the Rain,8.3,103,1952
It Happened One Night,8.1,105,1934
Dial M for Murder,8.2,105,1954
Coco,8.4,105,2017
Your Name.,8.4,106,2016
Whiplash,8.5,106,2014
The Usual Suspects,8.5,106,1995
The Terminator,8.1,107,1984
Lock Stock and Two Smoking Barrels,8.2,107,1998
The Sixth Sense,8.2,107,1999
Double Indemnity,8.3,107,1944
On the Waterfront,8.1,108,1954
Eternal Sunshine of the Spotless Mind,8.3,108,2004
The Thing,8.2,109,1982
Psycho,8.5,109,1960
Yojimbo,8.2,110,1961
Sunset Blvd.,8.4,110,1950
Léon: The Professional,8.5,110,1994
Ratatouille,8.1,111,2007
Kill Bill: Vol. 1,8.2,111,2003
My Father and My Son,8.2,112,2005
Rear Window,8.5,112,1954
The Intouchables,8.5,112,2011
Memento,8.4,113,2000
The Passion of Joan of Arc,8.2,114,1928
Taxi Driver,8.2,114,1976
The Incredibles,8.0,115,2004
Three Billboards Outside Ebbing Missouri,8.1,115,2017
The Hunt,8.3,115,2012
Indiana Jones and the Raiders of the Lost Ark,8.4,115,1981
Gran Torino,8.1,116,2008
Full Metal Jacket,8.3,116,1987
Witness for the Prosecution,8.4,116,1957
Back to the Future,8.5,116,1985
Life Is Beautiful,8.6,116,1997
The Big Lebowski,8.1,117,1998
Blade Runner,8.1,117,1982
Spider-Man: Into the Spider-Verse,8.4,117,2018
Alien,8.5,117,1979
Room,8.1,118,2015
Pan's Labyrinth,8.2,118,2006
The Silence of the Lambs,8.6,118,1991
Howl's Moving Castle,8.2,119,2004
1917,8.2,119,2019
Citizen Kane,8.3,119,1941
American History X,8.5,119,1998
Platoon,8.1,120,1986
Rocky,8.1,120,1976
Mad Max: Fury Road,8.1,120,2015
Oldboy,8.4,120,2003
The Battle of Algiers,8.1,121,1966
Network,8.1,121,1976
Hotel Rwanda,8.1,121,2004
Some Like It Hot,8.2,121,1959
Star Wars: Episode IV - A New Hope,8.6,121,1977
The Exorcist,8.1,122,1973
Wild Tales,8.1,122,2014
No Country for Old Men,8.2,122,2007
Amélie,8.3,122,2001
Joker,8.4,122,2019
American Beauty,8.4,122,1999
Rush,8.1,123,2013
A Separation,8.3,123,2011
Jaws,8.1,124,1975
The Elephant Man,8.2,124,1980
Star Wars: Episode V - The Empire Strikes Back,8.7,124,1980
Pather Panchali,8.3,125,1955
